variable	relative_importance	scaled_importance	percentage
n_back_2_mean_score	38.7013244628906	1	0.154855810858431
digit_span_forward	38.2987060546875	0.989596779598869	0.153244811727675
digit_span_backward	37.3636207580566	0.965435195735571	0.1495032500669
AGL_offline	33.341121673584	0.861498208040752	0.133408003559236
AGL_medRT_diff	24.717716217041	0.63867881939653	0.098903126455755
PS_vis_RT_med	20.7721405029297	0.53672944766651	0.0831156738299953
PS_ac_RT_med	20.4942798614502	0.529549831843648	0.0820038686000939
DLD	15.9480075836182	0.412079116282187	0.0638128456897038
IQ	12.5713024139404	0.32482873876822	0.0503016177320742
ASD	5.33144903182983	0.137758826237122	0.0213327547398553
ADHD	2.3787829875946	0.0614651570872087	0.00951823674028054
